Hid,State,City,Category,Alcohol,Hotel Name,Address,Start Date,Expiry Date,Total Rooms
16,Maharashtra,Lonavala,1 Star,,HOTEL MANIK MOTI,"GAT NO.164,KURAVANDE VILLAGE, INS SHIVAJI ROAD, LONAVLA , TAL-MAVAL,DIST-PUNE.",4/7/2018,3/7/2023,19
17,Andaman And Nicobar,Port Blair*,2 Star,,HOTEL SHREESH,"LINK ROAD, GOAL GHAR, PORT BLAIR, ANDAMAN & NICOBAR ISLAND Port Blair*",9/5/2019,8/5/2024,38
18,Assam,Dibrugarh,2 Star,,COMFORT HOTEL,"ROTARY ROAD, DIBRUGARH, ASSAM-786001.",25/03/2022,24/03/2027,26
19,Assam,Dibrugarh,2 Star,,Hotel Sanjivani Heritage,"Nirmali Gaon, Opposite City College, PO: C R Building",1/5/2019,30/04/2024,28
20,Assam,Guwahati,2 Star,,HOTEL NEZONE ( A UNIT OF NEZONE GLASS PVT. LTD),"N.H 37, GARCHUK, NEAR DY-365 NEWS CHANNEL. GUWAHATI- 781035",2/9/2019,1/9/2024,28
21,Gujarat,Dwarka,2 Star,,Cygnett Inn Dwarka (Unit of Om Enterprise),Near Sai Baba Mandir,19/02/2021,18/02/2026,48
22,Gujarat,Gandhidham,2 Star,,RAJVI HOTELS,"SURVEY NO.12940,NEAR RAJVI RESORT,GALPADAR,GANDHIDHAM,KUTCH-370210",16/09/2022,15/09/2027,40
23,Gujarat,Gandhidham,2 Star,,The Neemaya Hotel (A Unit of Hotel Natraj),"Plot No.50, Sector 9, Opp. S T Bus Stand Gandhidham",8/4/2021,7/4/2026,51
24,Gujarat,Gandhinagar,2 Star,,Hotel The Hillock (A unit of HOTEL HILLOCK PRIVATE LIMITED),"HOTEL HILLOCK, S P RING ROAD BETWEEN VAISJHNODEVI CIRCLE & ZUNDAL CIRCLE, ZUNDAL Gandhinagar",15/10/2022,14/10/2027,49
25,Gujarat,Jamnagar,2 Star,,"Raaj Svasti Inn, Unit of Raaj Enventure Private Limited","Plot No. 2 & 3, R.S.No.64-1, Near A J Engineering, Jamnagar - Khambhaliya Road, Village Sapar",25/01/2022,24/01/2027,48
26,Gujarat,Kevadiya,2 Star,,BRG BUDGET STAY( A unit of Anay Associates),"BRG BUDGET STAY,NR AAROGYA VAN,BHUMALIYA ROAD,KEVADIA COLONY,DIST:NARMADA,GUJARAT,INDIA",22/02/2022,21/02/2027,139
27,Gujarat,Morabi,2 Star,,"Club 36, Unit of Vrunda Entertainment LLP","Rajkot - Morbi Highway, Behind Jog Ashram, Lajai",6/5/2022,5/5/2027,10
28,Gujarat,Morvi,2 Star,,Shiv Hotel,"Opp. Shiv Petroleum, Morbi - Halvad Highway, Nichi Mandal",22/02/2022,21/02/2027,21
29,Gujarat,Navsari,2 Star,,HARE KRISHNA HOTEL,"Block no.568-2,Block no.-573,Village-Padgha,national highway no.-08,nr.Veshma Chokdi,Navsari-396445,Gujarat",1/11/2021,31/10/2026,15
30,Gujarat,Porbandar,2 Star,,HOTEL BALAJI PALACE,3 WADI POT MG ROAD KAMALA BAUG porbandar 360575,2/11/2020,1/11/2025,20
31,Gujarat,Saurashtra,2 Star,,Rann Riders,"Sh 18, Surendranagar, Dasada",22/02/2022,21/02/2027,29
32,Gujarat,Vadodara,2 Star,,EFFOTEL BY SAYAJI,"EFFOTEL BY SAYAJI, OPPOSITE RAJSHREE CENTER, NEAR KALAGHODA CIRCLE,SAYAJIGUNJ, VADODARA - 390 005",4/1/2023,3/1/2028,83
33,Himachal Pradesh,Manali,2 Star,,HOTEL VALLEY OF GODS,"VILLAGE & P.O VASHISHT. TEHSIL, MANALI DISTT. KULLU (H.P)",20/01/2021,19/01/2026,15
34,Kerala,Thiruvananthapuram,2 Star,,Hotel Marine Palace ,"Beach Road , Hawah Beach, Kovalam P O , Thiruvananthapuram Dist , Kerala , Pin 695527",9/9/2022,8/9/2027,20
35,Kerala,Thiruvananthapuram,2 Star,,JEEVAN AYURVEDIC BEACH RESORT,"LIGHT HOUSE BEACH, KOVALAM, VIZHINJAM.P.O",28/10/2019,27/10/2024,14
36,Maharashtra,Kollhapur,2 Star,,Hotel Vrishali Executive (A unit of Vrishali Hotels Pvt. Ltd.),"39-A-2, TARABAI PARK Kollhapur",19/02/2021,18/02/2026,84
37,Maharashtra,SANTACURZ,2 Star,,HOTEL AIRLINK,"75 OFF NEHRU ROAD,NEAR SANTACRUZ AIRPORT, VILE PARLE EAST , MUMBAI-400099.",21/11/2022,20/11/2027,39
38,Odisha,Sambalpur,2 Star,,Welcome Spa and Resort,"At-Po- Majhilali, PS- Sasan, Sambalpur",15/03/2022,14/03/2027,41
39,Rajasthan,Alwar,2 Star,,SPARROW INN (A Unit of Alwar Hospitality Pvt. Ltd.),"MANU MARG, ALWAR Alwar",20/08/2019,19/08/2024,19
40,Andhra Pradesh,East Godavari,3 Star,,HOTEL SHELTON RAJAMAHENDRI,"87-1-19B, AYYAPPA NAGAR, NEAR APSRTC COMPLEX ROAD, RAJAHMUNDRY ",6/7/2020,5/7/2025,97
41,Andhra Pradesh,Kakinada,3 Star,,Royal Park(Sri Adilakshmi Property Developers Pvt. Ltd.),"Royal Park,(Sri Adilakshmi Property Developers Pvt. Ltd.),D.No : 19-1-107, Kosurivari Street, Kakinada-533001 ,East Godavari, Andhra Pradesh.",2/8/2019,1/8/2024,84
42,Andhra Pradesh,Kurnool,3 Star,,Triguna Clarks Inn,"Adjacent to bus stand, Kallur Road",11/11/2019,10/11/2024,49
43,Andhra Pradesh,Nellore,3 Star,,MINERVA GRAND - NELLORE,"MINERVA GRAND ( A UNIT OF SECUNDERABAD HOTELS PVT LTD, 24-2-474-1, DARGAMITTA, G T ROAD, NELLORE, ANDHRA PRADESH - 524 003 Nellore",20/01/2021,19/01/2026,106
44,Andhra Pradesh,Rajahmundry,3 Star,,La Hospin Hotel Rajahmundry (A unit of La Hospin Hotels and Resorts Private Limited),"NEAR PUSHKARGHAT, RAJAHMUNDRY Rajahmundry Rajahmundry",11/10/2018,10/10/2023,69
45,Andhra Pradesh,Rajam,3 Star,,River Bay Resort,"D No 5-1-36, River Bay Road, Near ISKCON Temple, Gautama Ghat, Rajamahendravaram",8/8/2019,7/8/2024,68
46,Andhra Pradesh,Tirupati,3 Star,,BHIMAS RESIDENCY HOTEL (A UNIT OF BHIMAS RESIDENCY HOTELS PRIVATE LIMITED),"19-3-41, NEAR RAILWAY OVER BRIDGE, RENIGUNTA ROAD, TIRUPATI Tirupati Tirupati Tirupati",12/12/2019,11/12/2024,48
47,Andhra Pradesh,Tirupati,3 Star,,FORTUNE KENCES HOTEL,"OPP: APS RTC BUS TERMINAL, TIRUPATI",11/2/2021,10/2/2026,126
48,Andhra Pradesh,Tirupati,3 Star,,Hotel Bliss,"Door No.19-3-45, Ramanuja Circle Renigunta Road Tirupati Tirupati",19/02/2021,18/02/2026,92
49,Andhra Pradesh,Tirupati,3 Star,,Minerva Grand Tirupati,"19-3-39, Renigunta Road, Nr Rly Flyover Bridge, Tirupati",20/01/2020,19/01/2025,69
50,Andhra Pradesh,Vijayawada,3 Star,,HOTEL AJANTHA EVERGREEN,"D. NO. 29-13-15, KALESHWAR RAO STREET, NAKKAL ROAD",23/07/2018,22/07/2023,36
51,Andhra Pradesh,Vijayawada,3 Star,,Hotel Manorama(A Unit of Welcome-Poorna Enterprises Private Limited),"27-37-157,M.G.Road,Governor Pet,",1/1/2020,31/12/2024,70
52,Andhra Pradesh,Vijayawada,3 Star,,HOTEL MIDCITY,"A Unit of Sri Venkateswara Theatre, 38-8-45, M.G.Road, Punnammathota, Opp:All India Radio Station, ",29/04/2019,28/04/2024,44
53,Andhra Pradesh,Vijayawada,3 Star,,THE KAY HOTEL,"48-12-4|1,GUNADALA,VIJAYAWADA ",1/2/2019,31/01/2024,40
54,Andhra Pradesh,Visakhapatnam,3 Star,,BEST WESTERN RAMACHANDRA,"8-8-36,Main Road, Old Gajuwaka",28/08/2018,27/08/2023,64
55,Andhra Pradesh,Visakhapatnam,3 Star,,FAIRFIELD BY MARRIOTT,"K.S.R DEVELOPERS PVT LTD, SURVEY NO 106.1B2 PART, WARD NO 39,MADHAVDHARA,NEAR-R&B JUNCTION,NH-5ROAD, VISAKHAPATNAM-530018",11/7/2018,10/7/2023,121
56,Arunachal Pradesh,Itanagar,3 Star,,Cygnett Inn Trendz,"Chandra Nagar, Nrae DC Capital Complex Itanagar",22/09/2022,21/09/2027,32
57,Arunachal Pradesh,Itanagar,3 Star,,Waii International Hotel,"Mesueme Colony, Near State Meuseum, Itanagar Papum Pare District ",29/11/2018,28/11/2023,50
58,Arunachal Pradesh,West Kameng,3 Star,,NORPHEL RETREAT DIRANG,"Rungkhung,Dirang, West Kameng District-790101 West Kameng",5/10/2018,4/10/2023,45
59,Assam,Dibrugarh,3 Star,,Hotel Rainbow ,"T.R Phukan Road, West chowkidinghee, Dibrugarh Dibrugarh",16/07/2019,15/07/2024,25
60,Assam,Dibrugarh,3 Star,,PUSHKARA GARDEN,"Natun Gaon, Dibrugarh",22/09/2022,21/09/2027,60
61,Assam,Guwahati,3 Star,,DICHANG RESORT,"Sonapur, Pathorkuchi, N H 37",22/02/2019,21/02/2024,57
62,Assam,Guwahati,3 Star,,HOTEL CITYWALK INTERNATIONAL,"B BAROOAH ROAD, ULUBARI, GUWAHATI",19/11/2019,18/11/2024,41
63,Assam,Guwahati,3 Star,,Hotel Paramount Palacio,"Opp Farm Gate, Above Poddar Car World; G.S. Road, Khanapara, Guwahati Guwahati",9/1/2020,8/1/2025,25
64,Assam,Guwahati,3 Star,,Mayflower Hotel (A Unit of Mayflower Hotels and Resorts LLP),"MLN ROAD,PANBAZAR Guwahati",28/02/2022,27/02/2027,36
65,Assam,Guwahati,3 Star,,The Lily Hotel,"G.S. ROAD, SIX MILE , KHANAPARA, GUWAHATI",8/2/2016,10/2/2025,78
66,Assam,Jorhat,3 Star,,Gulmohar Grand (an Unit of Borthakur Developers),"Choladhara Road, Jorhat-785001, Assam",19/04/2022,18/04/2027,26
67,Assam,Kokrajhar,3 Star,,HOTEL GAURANG VALLEY,"J.D. ROAD, TENGAPARA, WARD NO. 5, KOKRAJHAR",29/03/2019,28/03/2024,62
68,Assam,Mangaldoi,3 Star,,Repose Highway Resort (A unit of Repose Highway Resort Private Limited),"Vill-Boinaojha, Aulachowka, P.O. & P.S. Magnaldoi, Discrict - Darrang Mangaldoi",8/4/2021,7/4/2026,20
69,Assam,Nagaon,3 Star,,HOTEL BLUE BIRD,"MADHAB DEV ROAD, NORTH HAIBARGAON",12/9/2018,11/9/2023,22
70,Bihar,Bodhgaya,3 Star,,Oaks Bodhgaya (A unit of Bodhi Hotel and Resorts Pvt. Ltd.),"Khata No. 141, Plot No. 80 and Khata No. 778, Plot No. 97, P.S. - Bodhgaya, Thana No. 359, District - Gaya, Bihar Bodhgaya",15/07/2022,14/07/2027,78
71,Chhattisgarh,Bilaspur,3 Star,,COURTYARD BY MARRIOTT BILASPUR ,"COURTYARD BY MARRIOTT BILASPUR City Mall 36, Mangla Chowk, Bilaspur â€“ 495001",19/04/2022,18/04/2027,100
72,Chhattisgarh,Bilaspur,3 Star,,Hotel Intercity International,Jagmal Chowk,27/05/2019,26/05/2024,39
73,Chhattisgarh,Bilaspur,3 Star,,THE EMERALD,"NEAR OLD BUS STAND,TELEPHONE EXCHANGE ROAD,",23/04/2019,22/04/2024,22
74,Chhattisgarh,Durg-Bhilai Nagar,3 Star,,Hotel Ashish International,"G.E Road, Power House",6/5/2022,5/5/2027,17
75,Chhattisgarh,Durg-Bhilai Nagar,3 Star,,Hotel Grand Dhillon,"A-1 Nehru Parisar , Nehru Nagar Square GE Road Bhilai ",4/1/2019,3/1/2024,39
76,Chhattisgarh,Korba,3 Star,,hotel relax inn,korba champa road urga,2/8/2018,1/8/2023,42
77,Chhattisgarh,Raigarh,3 Star,,Hotel Accordd Premier (ACCORDD Chain of Hotels),Hotel Accordd Premier Jagatpur Dhimrapur Road Raigarh Raigarh,6/5/2022,5/5/2027,35
78,Chhattisgarh,Raigarh,3 Star,,Hotel Ans International,"Jagatpur - Dhimrapur Road ,Raigarh, Chattisgarh Raigarh Raigarh",4/7/2019,3/7/2024,71
79,Chhattisgarh,Raipur*,3 Star,,GREENWOOD FOURSEASONS ,"GREENWOOD FOURSEASONS, VIP ROAD, PURENA, ",16/09/2022,15/09/2027,15
80,Chhattisgarh,Raipur*,3 Star,,HOTEL GAGAN REGENCY,"OPP. GATE NO. 1, AIIMS, G. E. ROAD, TATIBANDH, RAIPUR (C.G.) PIN 492001 ",19/04/2022,18/04/2027,26
81,Chhattisgarh,Raipur*,3 Star,,HOTEL IVY,"PRIYADARSHINI NAGAR, NEAR PACHPEDI NAKA",25/04/2019,24/04/2024,38
82,Chhattisgarh,Raipur*,3 Star,,HOTEL KINGSWAY,RING ROAD NO. 1 NEAR AIRTEL OFFICE TELIBANDHA RAIPUR ,2/11/2020,1/11/2025,30
83,Chhattisgarh,Raipur*,3 Star,,HOTEL SOLITAIRE ( A UNIT OF R.R.S.K.ENTERPRISES),"BEHIND STATE BANK OF INDIA MAIN BRANCH,ANAND TAKIES ROAD,NEAR JAISTAMBH CHOWK,RAIPUR (C.G.)",21/10/2019,20/10/2024,48
84,Chhattisgarh,Raipur*,3 Star,,HOTEL THE GOLDEN OAK,"J.B. MALL NEAR GURUNANAK CHOWK M. G. ROAD, RAIPUR",9/5/2022,8/5/2027,28
85,Chhattisgarh,Raipur*,3 Star,,RMV RESORT AND HOTELS PVT LTD,"HOTEL VW CANYON, NEAR - AGRASEN DHAM, VIP ROAD - II, PHUNDAHAR, RAIPUR - 492006, CHHATTISHGARH",8/8/2018,7/8/2023,111
86,Chhattisgarh,Rajnandgaon,3 Star,,Hotel Awana,"Near New Gurudwara, GE Road, Rajnandgoan Rajnandgaon",24/12/2018,23/12/2023,15
87,Delhi,New Delhi,3 Star,,HOTEL THE MANOR,77 FREINDS COLONY (W) NEW DELHI- 110065,14/06/2019,13/06/2024,12
88,Goa,Margao,3 Star,,Hotel Nanutel Margao,Padre Miranda Road,4/1/2020,3/1/2025,55
89,Goa,vasco da gama,3 Star,,Hotel La Paz Gardens (A unit of Hotel La Paz Gardens Pvt. Ltd.),"Swatantra Path, Vasco da Gama vasco da gama vasco da gama",20/01/2021,19/01/2026,73
90,Gujarat,Ahmedabad,3 Star,,Aarya Grand Hotels Resorts,"Kargil Petrol Pump Lane, Near Gujarat High Court, Sarkhej - Gandhinagar Highway",4/7/2019,3/7/2024,105
91,Gujarat,Ahmedabad,3 Star,,AJU IMPERIAL HOTEL( A UNIT OF AJU RYOKAN NCR PVT.LTD.),"Survey No. 414, Village-Jalisana, Jalisana to Nayakpur Road Taluka- Mandal, Distt.-Ahmedabad, Gujarat 382120",22/02/2022,21/02/2027,107
92,Gujarat,Ahmedabad,3 Star,,AVALON HOTEL AND BANQUETS,"OPP MANGO GARDEN BUNGLOWS, NEAR SINDHU BHAVAN ROAD OFF S.G. HIGHWAY BODAKDEV",28/02/2019,27/02/2024,46
93,Gujarat,Ahmedabad,3 Star,,"Belvedere Club, A unit of BELVEDERE GOLF AND COUNTRY CLUB PVT LTD","ADANI SHANTIGRAM, S G HIGHWAY, NEAR VAISHNODEVI CIRCLE Ahmedabad",9/5/2022,8/5/2027,55
94,Gujarat,Ahmedabad,3 Star,,"Bloom Suites, A unit of Ms Rising Hotel Limited.","Surdhara Circle, Off Drive In Road, Thaltej, Ahmedabad Ahmedabad",27/05/2019,26/05/2024,68
95,Gujarat,Ahmedabad,3 Star,,"Comfort Inn President, A unit of Sun N Silver Inn Pvt. Ltd.","OPP MUNICIPAL MARKET, OFF C G ROAD, NAVRANGPURA, AHMEDABAD Ahmedabad",28/01/2020,27/01/2025,57
96,Gujarat,Ahmedabad,3 Star,,COMFORT INN SUNSET,"AIRPORT CIRCLE,HANSOL,AHMEDABAD",6/8/2020,5/8/2025,57
97,Gujarat,Ahmedabad,3 Star,,HOTEL CENTRA,"KHANPUR, AHMEDABAD-380001",18/10/2018,17/10/2023,37
98,Gujarat,Ahmedabad,3 Star,,HOTEL NALANDA,"MITHAKHALI SIX ROADS, NEAR LIONS HALL, ELLISBRIDGE, AHMEDABAD - 380 006",9/5/2019,8/5/2024,43
99,Gujarat,Ahmedabad,3 Star,,Hotel Silvera Grand,"Unit of Silvera Hotels, Dehgam Circle, S P Ring Road, Hanspura, Village Bilasiya",16/07/2021,15/07/2026,21
100,Gujarat,Ahmedabad,3 Star,,"Palm Greens Club, Unit of Snesh Resorts Private Limited","NH No.8, Bareja - Kheda Highway, Village Goblaj, Near Bareja Ahmedabad",6/5/2022,5/5/2027,62
101,Gujarat,Ahmedabad,3 Star,,Regenta Central Antarim ,"A Unit of Antarim Hotel LLP, Between Girish Cold Drink & St Xaviers Corner, C G Road, Navrangpura Ahmedabad",19/08/2019,18/08/2024,73
102,Gujarat,Ahmedabad,3 Star,,"Regenta Inn , Ranip","Arved Transcube Plaza, Opp Adi-Jati Girls Hostel, 132 Ft Ring Road, Ranip-Ahmedabad",18/02/2020,17/02/2025,102
103,Gujarat,Ahmedabad,3 Star,,"TGB EXPRESS HOTEL, A UNIT OF HOTEL PALMLAKE (KANKARIA) PVT. LTD.","TGB EXPRESS HOTEL, NR, JALDHARA WATER PARK, KANKARIA GATE-5, MANINAGAR Ahmedabad Ahmedabad Ahmedabad",19/07/2019,18/07/2024,33
104,Gujarat,Anand,3 Star,,Humming Bird Hotel and Banquet,"Behind Architect College, Near University Library, Iscon Temple Road, V.V. Nagar, Anand",26/10/2022,25/10/2027,38
105,Gujarat,Anand,3 Star,,LA CASA INN ,UNIT OF SHREE A & A COMPANY,15/03/2019,14/03/2024,44
106,Gujarat,Bharuch,3 Star,,Regenta Central Harimangla,"Near ABC Cir, Old N.H. 8, Bholav, Bharuch, Gujarat 392015",16/09/2022,15/09/2027,104
107,Gujarat,Bharuch,3 Star,,Regenta Central Hestia Dahej,SURVEY NO 106; VILLAGE: BHENSALI; TALUKA: VAGRA;,16/10/2022,15/10/2027,69
108,Gujarat,Bharuch,3 Star,,VEDIK RESORT,"SURVEY NO 45, OLPAD SAHOL ROAD, VILLAGE SAHOL, BHARUCH GUJARAT 394810",22/09/2021,21/09/2026,129
109,Gujarat,Bhavnagar,3 Star,,Top3 Lords Resort (A unit of Tree Top Resorts Spa Pvt. Ltd.),"Plot No 1 & 2| Near BPCL Petrol Pump, Budhel â€“ Vartej Cross Road | Bhavnagar | Gujarat |364002",6/5/2022,5/5/2027,39
110,Gujarat,Bhavnagar,3 Star,,VIRGO SUMERU,"PLOT NO:-109-A,BESIDE STERLING POINT,WAGHAWADI ROAD Bhavnagar",22/07/2019,21/07/2024,33
111,Gujarat,Bhuj,3 Star,,HOTEL COMFORT INN PRINCE ,STATION ROAD Bhuj,13/11/2019,12/11/2024,44
112,Gujarat,Bhuj,3 Star,,HOTEL ILARK,"Nr.RAVI CINEMA,STATION ROAD",4/7/2018,3/7/2023,29
113,Gujarat,Bhuj,3 Star,,HOTEL SEVEN SKY,"SEVEN SKY ENTERTAINMENT PVT LTD. AIRPORT ROAD, BHUJ- (KUTCHH) PIN 370001, GUJARAT",22/02/2022,21/02/2027,82
114,Gujarat,Bhuj,3 Star,,LaKamp Resort (Unit of Kashish Resort),"Survey No.116-1, Near Rudra Mata Temple, Village Saraspar, Taluka Bhuj, Dist. Kutch 370001. Bhuj Bhuj",22/09/2022,21/09/2027,29
115,Gujarat,Bhuj,3 Star,,The Fern Residency Bhuj (A unit of Ms THE BESIL INN),Bhuj Anjar Highway Near Tulsi Hotel Madhavpar Bhuj,15/07/2022,14/07/2027,46
116,Gujarat,Dang,3 Star,,Sunotel,"Sunotel(Unit of Shriji Resort Hotels Pvt. Ltd) Opp Lake Garden, Nageshwar Mahadev Temple Road, Saputara",16/07/2021,15/07/2026,90
117,Gujarat,Dwarka,3 Star,,Bapuâ€™s Resort (Unit of Bapu Enterprise),"S.NO 389P1, NH 8E Village Vachhu, Dwarka, Dwarka Dwarka ",7/1/2022,6/1/2027,52
118,Gujarat,Jamnagar,3 Star,,Highway Hari,"Jamnagar-Dwarka Highway, Near Vasai Toll booth, Ravalsar Patiya, ",11/2/2021,10/2/2026,19
119,Gujarat,Kutch,3 Star,,ambar sarovar portico,"plot no-100,sector-8,near oslo circle Gandhidham,Kutch,Gujarat,Pin-370201",5/8/2022,4/8/2027,58
120,Gujarat,Mahesana,3 Star,,HOTEL SHIVALIK,"Nugar Bypass Highway,Iskon Circle Opp Essar Petrol Pump, Nugar Mehsana",22/02/2022,21/02/2027,30
121,Gujarat,Morabi,3 Star,,"Sarovar Portico, Unit of Specific Ceramic Hotel","Iskon Tiles Zone, 8-A National Highway, Rafaleshwar",7/7/2022,6/7/2027,59
122,Gujarat,Morbi,3 Star,,Khajoora Hotel n Resort,"Rajkot - Morbi HIghway, Tankara",22/02/2022,21/02/2027,40
123,Gujarat,Morvi,3 Star,,DARIYALAL HOTEL ,"Survey no. 66 paiki 1, 66 paiki 2 and 68 paiki 2, Village- Jambudiya, Taluka- Morbi, District- Morbi-363642",25/03/2022,24/03/2027,18
124,Gujarat,Morvi,3 Star,,HOTEL THE GRAND VAIBHAV,"LAKHDHIRPUR ROAD, N.H. 8A, MORBI - 363642",24/07/2019,23/07/2024,35
125,Gujarat,Morvi,3 Star,,Lords Eco Inn unit of Hotel Seven Paradise,"Pipli Jetpar Road, Seven Cera Mall, Village Bela, Morbi",19/02/2021,18/02/2026,40
126,Gujarat,Morvi,3 Star,,OAK TREE,SURVEY NO 22 JAMBUDIYA N H NO 27 A MORBI 363641 ,20/01/2020,19/01/2025,52
127,Gujarat,Morvi,3 Star,,Regenta Inn Unit of Hotel The Grand Dharmendra,Near HDFC Bank opp. shakti Chamber 8-a Natioanl highway lalpar Road Morvi,20/01/2021,19/01/2026,54
128,Gujarat,Porbandar,3 Star,,LORDS ECO INN,"Chowpati Road, Near Circuit House,",4/7/2018,3/7/2023,29
129,Gujarat,Porbandar,3 Star,,Lords Eco Inn ( A Unit of Delite Enterprise ) ,"Near Circuit House , Chopati Road , Porbandar ",4/7/2018,3/7/2023,29
130,Gujarat,Rajkot,3 Star,,AARYARAJ CLUB AND RESORTS,"Opposite Gardi Vidyapith, Kallavad Road Chappra Rajkot 361162 Rajkot Rajkot",26/05/2022,25/05/2027,28
131,Gujarat,Rajkot,3 Star,,"Hotel Comfort INN Legacy, Prop. S Kumar Associates Private Limited.","Limada Chowk, Near Lalbahadur Shastri Maidan, Panchnath Road.",7/8/2020,6/8/2025,37
132,Gujarat,Rajkot,3 Star,,Hotel KK Beacon (A Unit of Hotel K.K. (India) Private Limited),"The KK Circle, Kalawad Main Road, Rajkot Rajkot Rajkot Rajkot",18/01/2019,17/01/2024,34
133,Gujarat,Rajkot,3 Star,,Krishna Park Resort (A unit of Messrs Hotel Krishna Park Nursary),"Krishna Park Circle, Gondal Road, Vavdi, Rajkot Rajkot",19/02/2021,18/02/2026,29
134,Gujarat,Rajkot,3 Star,,marasa sarovar portico rajkot ,"dr. rajendra prasad road, limda chowk, opposite shastri maidan,rajkot ",6/5/2022,5/5/2027,68
135,Gujarat,Rajkot,3 Star,,Phoenix Hospitality,"Kalawad Road, Ishwariya Road Corner, Rajkot - Gujarat",15/06/2021,14/06/2026,24
136,Gujarat,Rajkot,3 Star,,REGENCY LAGOON RESORT,"NYARI DAM ROAD, OFF. KALAWAD ROAD. RAJKOT",16/07/2021,15/07/2026,120
137,Gujarat,Rajkot,3 Star,,Regenta Central Rajkot (Unit of P P Developers),"Everest Park, Kalawad Road",4/7/2019,3/7/2024,92
138,Gujarat,Sanand,3 Star,,Ginger Sanand,"NH 8A, Mahalaxmi Industrial Estate, Village Iyava, Sanand-Viramgam Highway, Ahead Essar petrol pump, Opp Hanuman Mandir, Sanand",15/07/2022,14/07/2027,104
139,Gujarat,Saurashtra,3 Star,,LORDS RESORT A UNIT OF SETU JOY PVT. LTD.,"JOLLY ENJOY, R.S. NO. 64-P1.P2, NATIONAL HIGHWAY 8A, VILLAGE MAGHARIKHADA, TAL. CHOTILA, DIST. SURENDRANAGAR - 363520",6/8/2019,5/8/2024,42
140,Gujarat,Surat,3 Star,,SHILPI HILL RESORT,"SAPUTARA, DIST DANG,GUJARAT",11/2/2021,10/2/2026,68
141,Gujarat,Surat,3 Star,,The Amore Banquets,"Near V R Mall, Next to BPCL Petrol Pump, Magdalla",7/7/2022,6/7/2027,17
